Date : 2021-03-11 00:59:01
Directory : c:\Users\stino\projects\kotlin24
Total : 211 files,  7777 codes, 1817 comments, 1601 blanks, all 11195 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Kotlin       |        200 |      6,317 |      1,765 |      1,517 |      9,599 |
| SQL          |          3 |      1,209 |         14 |         35 |      1,258 |
| YAML         |          2 |        125 |         35 |         12 |        172 |
| Batch        |          1 |         68 |          0 |         22 |         90 |
| XML          |          1 |         37 |          2 |          8 |         47 |
| Shell Script |          1 |         14 |          1 |          4 |         19 |
| Properties   |          2 |          6 |          0 |          2 |          8 |
| Markdown     |          1 |          1 |          0 |          1 |          2 |
+--------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                   |        211 |      7,777 |      1,817 |      1,601 |     11,195 |
| gradle                                                                                                              |          1 |          5 |          0 |          1 |          6 |
| gradle\wrapper                                                                                                      |          1 |          5 |          0 |          1 |          6 |
| src                                                                                                                 |        204 |      7,612 |      1,810 |      1,550 |     10,972 |
| src\main                                                                                                            |        199 |      7,611 |      1,670 |      1,545 |     10,826 |
| src\main\kotlin                                                                                                     |        194 |      6,249 |      1,619 |      1,491 |      9,359 |
| src\main\kotlin\no                                                                                                  |        194 |      6,249 |      1,619 |      1,491 |      9,359 |
| src\main\kotlin\no\nsd                                                                                              |        194 |      6,249 |      1,619 |      1,491 |      9,359 |
| src\main\kotlin\no\nsd\qddt                                                                                         |        194 |      6,249 |      1,619 |      1,491 |      9,359 |
| src\main\kotlin\no\nsd\qddt\config                                                                                  |         27 |        673 |        344 |        154 |      1,171 |
| src\main\kotlin\no\nsd\qddt\config\exception                                                                        |         16 |        355 |        174 |         78 |        607 |
| src\main\kotlin\no\nsd\qddt\controller                                                                              |          5 |        183 |         11 |         48 |        242 |
