Date : 2021-03-11 00:59:01
Directory : c:\Users\stino\projects\kotlin24
Total : 211 files,  7777 codes, 1817 comments, 1601 blanks, all 11195 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| src\main\kotlin\no\nsd\qddt\model                                                                                   |        100 |      4,114 |        893 |        932 |      5,939 |
| src\main\kotlin\no\nsd\qddt\model\builder                                                                           |         28 |      1,354 |        168 |        214 |      1,736 |
| src\main\kotlin\no\nsd\qddt\model\builder\pdf                                                                       |          2 |        314 |         18 |         42 |        374 |
| src\main\kotlin\no\nsd\qddt\model\builder\xml                                                                       |          6 |        264 |         29 |         43 |        336 |
| src\main\kotlin\no\nsd\qddt\model\classes                                                                           |         11 |        543 |         57 |        126 |        726 |
| src\main\kotlin\no\nsd\qddt\model\embedded                                                                          |          9 |        343 |         46 |         82 |        471 |
| src\main\kotlin\no\nsd\qddt\model\enums                                                                             |          9 |        188 |         80 |         30 |        298 |
| src\main\kotlin\no\nsd\qddt\model\interfaces                                                                        |         15 |        187 |         68 |         68 |        323 |
| src\main\kotlin\no\nsd\qddt\repository                                                                              |         44 |        839 |        143 |        246 |      1,228 |
| src\main\kotlin\no\nsd\qddt\repository\handler                                                                      |          2 |        206 |         18 |         31 |        255 |
| src\main\kotlin\no\nsd\qddt\repository\projection                                                                   |         22 |        202 |         22 |        102 |        326 |
| src\main\kotlin\no\nsd\qddt\security                                                                                |          6 |        167 |         29 |         52 |        248 |
| src\main\kotlin\no\nsd\qddt\service                                                                                 |          7 |        151 |        100 |         31 |        282 |
| src\main\kotlin\no\nsd\qddt\utils                                                                                   |          4 |        114 |         95 |         24 |        233 |
| src\main\resources                                                                                                  |          5 |      1,362 |         51 |         54 |      1,467 |
| src\test                                                                                                            |          5 |          1 |        140 |          5 |        146 |
| src\test\kotlin                                                                                                     |          4 |          0 |        140 |          4 |        144 |
| src\test\kotlin\com                                                                                                 |          4 |          0 |        140 |          4 |        144 |
| src\test\kotlin\com\example                                                                                         |          4 |          0 |        140 |          4 |        144 |
| src\test\kotlin\com\example\blog                                                                                    |          4 |          0 |        140 |          4 |        144 |
| src\test\resources                                                                                                  |          1 |          1 |          0 |          1 |          2 |
| test                                                                                                                |          1 |         14 |          1 |          4 |         19 |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                            | language     | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| c:\Users\stino\projects\kotlin24\.travis.yml                                                                        | YAML         |          9 |          0 |          1 |         10 |
| c:\Users\stino\projects\kotlin24\README.md                                                                          | Markdown     |          1 |          0 |          1 |          2 |
| c:\Users\stino\projects\kotlin24\build.gradle.kts                                                                   | Kotlin       |         62 |          6 |         21 |         89 |
| c:\Users\stino\projects\kotlin24\gradle\wrapper\gradle-wrapper.properties                                           | Properties   |          5 |          0 |          1 |          6 |
| c:\Users\stino\projects\kotlin24\gradlew.bat                                                                        | Batch        |         68 |          0 |         22 |         90 |
| c:\Users\stino\projects\kotlin24\settings.gradle.kts                                                                | Kotlin       |          6 |          0 |          1 |          7 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\QddtApplication.kt                                     | Kotlin       |          8 |          4 |          4 |         16 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\AuditAwareImpl.kt                               | Kotlin       |         16 |          3 |          3 |         22 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\AuditRevisionListener.kt                        | Kotlin       |         10 |          1 |          3 |         14 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\CacheControlFilter.kt                           | Kotlin       |         14 |          3 |          7 |         24 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\LoggerInterceptor.kt                            | Kotlin       |         50 |          0 |         11 |         61 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\ModelProcessorQuestionConstruct.kt              | Kotlin       |         15 |          5 |          5 |         25 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\ModelProcessorQuestionItem.kt                   | Kotlin       |         15 |          5 |          6 |         26 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\PermissionEvaluatorImpl.kt                      | Kotlin       |         59 |          5 |         12 |         76 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\RepositoryRestConfig.kt                         | Kotlin       |         15 |         42 |          5 |         62 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\RestExceptionErrorHandler.kt                    | Kotlin       |         30 |          3 |          7 |         40 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\RevisionEntityImpl.kt                           | Kotlin       |         20 |          8 |          4 |         32 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\SecurityConfig.kt                               | Kotlin       |         74 |         95 |         13 |        182 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\exception\ApiError.kt                           | Kotlin       |          7 |          3 |          4 |         14 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\exception\ControllerAdviceExceptionMessage.kt   | Kotlin       |         20 |          8 |          3 |         31 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\exception\ControllerExceptionAdvice.kt          | Kotlin       |        139 |         91 |         11 |        241 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\exception\DescendantsArchivedException.kt       | Kotlin       |         12 |          6 |          4 |         22 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\exception\ExtractFromException.kt               | Kotlin       |         24 |         18 |          4 |         46 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\exception\FileDownloadException.kt              | Kotlin       |         11 |          6 |          4 |         21 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\exception\FileNotOwnedException.kt              | Kotlin       |         14 |          3 |          4 |         21 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\exception\FileUploadException.kt                | Kotlin       |         11 |          6 |          4 |         21 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\exception\InvalidObjectException.kt             | Kotlin       |         12 |          6 |          4 |         22 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\exception\InvalidPasswordException.kt           | Kotlin       |         11 |          6 |          5 |         22 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\exception\ReferenceInUseException.kt            | Kotlin       |         10 |          3 |          5 |         18 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\exception\RequestAbortedException.kt            | Kotlin       |         17 |          3 |          5 |         25 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\exception\ResourceNotFoundException.kt          | Kotlin       |         17 |          6 |          6 |         29 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\exception\StackTraceFilter.kt                   | Kotlin       |         24 |          3 |          6 |         33 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\exception\UserAlreadyExistsException.kt         | Kotlin       |         10 |          3 |          4 |         17 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\config\exception\UserNotFoundException.kt              | Kotlin       |         16 |          3 |          5 |         24 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\controller\AbstractRestController.kt                   | Kotlin       |         48 |          5 |         15 |         68 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\controller\AuthenticationController.kt                 | Kotlin       |         39 |          2 |         13 |         54 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\controller\OtherMaterialController.kt                  | Kotlin       |         31 |          4 |          5 |         40 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\controller\QuestionItemController.kt                   | Kotlin       |         32 |          0 |          7 |         39 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\controller\ResponseDomainController.kt                 | Kotlin       |         33 |          0 |          8 |         41 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Agency.kt                                        | Kotlin       |         30 |          0 |          9 |         39 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Author.kt                                        | Kotlin       |         32 |         16 |         13 |         61 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Authority.kt                                     | Kotlin       |         11 |          0 |          3 |         14 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Category.kt                                      | Kotlin       |        158 |         93 |         26 |        277 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Comment.kt                                       | Kotlin       |         34 |         12 |         10 |         56 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Concept.kt                                       | Kotlin       |         56 |         23 |         16 |         95 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\ConceptHierarchy.kt                              | Kotlin       |         66 |          1 |         16 |         83 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\ConditionConstruct.kt                            | Kotlin       |         32 |          3 |          8 |         43 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\ControlConstruct.kt                              | Kotlin       |         41 |          8 |         12 |         61 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\ControlConstructInstruction.kt                   | Kotlin       |         13 |          3 |          5 |         21 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Instruction.kt                                   | Kotlin       |         55 |         46 |         14 |        115 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Instrument.kt                                    | Kotlin       |         39 |         22 |         22 |         83 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\InstrumentNode.kt                                | Kotlin       |        111 |          9 |         24 |        144 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\InstrumentNodeIter.kt                            | Kotlin       |         48 |          4 |          8 |         60 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\OtherMaterial.kt                                 | Kotlin       |         64 |          8 |         13 |         85 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Publication.kt                                   | Kotlin       |         45 |          4 |         15 |         64 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\PublicationStatus.kt                             | Kotlin       |         28 |          3 |         11 |         42 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\QuestionConstruct.kt                             | Kotlin       |        103 |         26 |         29 |        158 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\QuestionItem.kt                                  | Kotlin       |         53 |         10 |         15 |         78 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\ResponseDomain.kt                                | Kotlin       |         95 |         38 |         18 |        151 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Sequence.kt                                      | Kotlin       |         79 |         22 |         25 |        126 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\StatementItem.kt                                 | Kotlin       |         21 |          3 |          6 |         30 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Study.kt                                         | Kotlin       |         30 |         39 |         16 |         85 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\SurveyProgram.kt                                 | Kotlin       |         26 |         32 |         16 |         74 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\TopicGroup.kt                                    | Kotlin       |         69 |         35 |         19 |        123 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\TreeNode.kt                                      | Kotlin       |         66 |          4 |         16 |         86 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\Universe.kt                                      | Kotlin       |         36 |          4 |          6 |         46 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\User.kt                                          | Kotlin       |         58 |          6 |         21 |         85 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\CategoryFragmentBuilder.kt               | Kotlin       |         44 |          7 |          5 |         56 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\ConceptFactory.kt                        | Kotlin       |         22 |          4 |          4 |         30 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\ConceptFragmentBuilder.kt                | Kotlin       |         54 |          3 |          9 |         66 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\ControlConstructFragmentBuilder.kt       | Kotlin       |         27 |         10 |          8 |         45 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\FragmentBuilderAnchor.kt                 | Kotlin       |         17 |          3 |          3 |         23 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\FragmentBuilderCode.kt                   | Kotlin       |         17 |          3 |          5 |         25 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\FragmentBuilderManageRep.kt              | Kotlin       |        181 |          4 |         22 |        207 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\InstructionFragmentBuilder.kt            | Kotlin       |         36 |          3 |          6 |         45 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\InstrumentFactory.kt                     | Kotlin       |         15 |          8 |          4 |         27 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\InstrumentFragmentBuilder.kt             | Kotlin       |         45 |          5 |         12 |         62 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\PublicationFactory.kt                    | Kotlin       |         16 |          3 |          4 |         23 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\PublicationFragmentBuilder.kt            | Kotlin       |         39 |          5 |          7 |         51 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\QuestionItemFactory.kt                   | Kotlin       |         17 |          3 |          3 |         23 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\QuestionItemFragmentBuilder.kt           | Kotlin       |         48 |          5 |          6 |         59 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\ResponseDomainFactory.kt                 | Kotlin       |         20 |          1 |          3 |         24 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\ResponseDomainFragmentBuilder.kt         | Kotlin       |         66 |         23 |          3 |         92 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\ResponseDomainFragmentCollector.kt       | Kotlin       |         18 |          3 |          2 |         23 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\TopicGroupFactory.kt                     | Kotlin       |         21 |         12 |          9 |         42 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\TopicGroupFragmentBuilder.kt             | Kotlin       |         50 |         13 |          9 |         72 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\UniverseFragmentBuilder.kt               | Kotlin       |         23 |          3 |          5 |         31 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\pdf\PdfReport.kt                         | Kotlin       |        273 |         14 |         35 |        322 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\pdf\TextFooterEventHandler.kt            | Kotlin       |         41 |          4 |          7 |         52 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\xml\AbstractXmlBuilder.kt                | Kotlin       |         93 |         11 |         13 |        117 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\xml\Html5Tags.kt                         | Kotlin       |         31 |          3 |          2 |         36 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\xml\XmlDDICommentsBuilder.kt             | Kotlin       |         12 |          5 |          7 |         24 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\xml\XmlDDIFragmentAssembler.kt           | Kotlin       |         66 |          4 |          7 |         77 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\xml\XmlDDIFragmentBuilder.kt             | Kotlin       |         35 |          3 |          8 |         46 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\builder\xml\XmlDDIInstanceBuilder.kt             | Kotlin       |         27 |          3 |          6 |         36 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\AbstractAuditFilter.kt                   | Kotlin       |         54 |          3 |          7 |         64 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\AbstractElementRef.kt                    | Kotlin       |         65 |          5 |         14 |         84 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\AbstractEntity.kt                        | Kotlin       |         36 |          7 |         11 |         54 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\AbstractEntityAudit.kt                   | Kotlin       |         84 |         14 |         25 |        123 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\ConditionNode.kt                         | Kotlin       |         18 |          3 |          8 |         29 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\ElementLoader.kt                         | Kotlin       |         39 |          4 |          5 |         48 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\ElementRefNode.kt                        | Kotlin       |         72 |          7 |         19 |         98 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\ElementRefNodeIter.kt                    | Kotlin       |         49 |          3 |          9 |         61 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\ParentRef.kt                             | Kotlin       |         39 |          4 |          9 |         52 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\TreeNodeIter.kt                          | Kotlin       |         49 |          4 |          7 |         60 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\classes\UriId.kt                                 | Kotlin       |         38 |          3 |         12 |         53 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\embedded\Code.kt                                 | Kotlin       |         23 |          5 |          3 |         31 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\embedded\ElementRefCondition.kt                  | Kotlin       |         50 |          4 |          8 |         62 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\embedded\ElementRefEmbedded.kt                   | Kotlin       |         17 |          3 |          5 |         25 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\embedded\ElementRefQuestionItem.kt               | Kotlin       |         67 |          8 |         13 |         88 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\embedded\ElementRefResponseDomain.kt             | Kotlin       |         38 |          3 |         10 |         51 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\embedded\Parameter.kt                            | Kotlin       |         29 |         12 |         10 |         51 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\embedded\PublicationElement.kt                   | Kotlin       |         50 |          3 |         12 |         65 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\embedded\ResponseCardinality.kt                  | Kotlin       |         13 |          5 |          3 |         21 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\embedded\Version.kt                              | Kotlin       |         56 |          3 |         18 |         77 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\enums\CategoryRelationCodeType.kt                | Kotlin       |          8 |         18 |          6 |         32 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\enums\CategoryType.kt                            | Kotlin       |         28 |         23 |          4 |         55 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\enums\ConditionKind.kt                           | Kotlin       |         14 |          3 |          3 |         20 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\enums\ElementKind.kt                             | Kotlin       |         27 |          4 |          4 |         35 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\enums\HierarchyLevel.kt                          | Kotlin       |         12 |          4 |          4 |         20 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\enums\InstructionRank.kt                         | Kotlin       |          4 |          3 |          2 |          9 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\enums\InstrumentKind.kt                          | Kotlin       |         63 |          3 |          3 |         69 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\enums\ResponseKind.kt                            | Kotlin       |          9 |         19 |          1 |         29 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\enums\SequenceKind.kt                            | Kotlin       |         23 |          3 |          3 |         29 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IArchived.kt                          | Kotlin       |          4 |          3 |          2 |          9 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IAuthorSet.kt                         | Kotlin       |         13 |          7 |          4 |         24 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IBasedOn.kt                           | Kotlin       |         36 |          9 |         12 |         57 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IConditionNode.kt                     | Kotlin       |         12 |          3 |          3 |         18 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IDomainObject.kt                      | Kotlin       |         10 |          7 |          3 |         20 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IDomainObjectParentRef.kt             | Kotlin       |          4 |          6 |          2 |         12 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IElementRef.kt                        | Kotlin       |         13 |          3 |          3 |         19 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IEntityFactory.kt                     | Kotlin       |         38 |          3 |          7 |         48 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IOtherMaterialList.kt                 | Kotlin       |         12 |          7 |          4 |         23 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IParameter.kt                         | Kotlin       |          7 |          3 |          3 |         13 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IParentChild.kt                       | Kotlin       |         14 |         11 |         13 |         38 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IParentRef.kt                         | Kotlin       |          4 |          0 |          2 |          6 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IWebMenuPreview.kt                    | Kotlin       |          8 |          3 |          3 |         14 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\IXmlBuilder.kt                        | Kotlin       |          5 |          3 |          3 |         11 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\model\interfaces\RepLoaderService.kt                   | Kotlin       |          7 |          0 |          4 |         11 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\repository\AgencyRepository.kt                         | Kotlin       |          8 |          3 |          4 |         15 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\repository\AuthorRepository.kt                         | Kotlin       |         17 |          4 |          3 |         24 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\repository\BaseArchivedRepository.kt                   | Kotlin       |         13 |          4 |          4 |         21 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\repository\BaseMixedRepository.kt                      | Kotlin       |          9 |          7 |          3 |         19 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\repository\CategoryRepository.kt                       | Kotlin       |         28 |          4 |          3 |         35 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\repository\CommentRepository.kt                        | Kotlin       |          8 |          3 |          3 |         14 |
| c:\Users\stino\projects\kotlin24\src\main\kotlin\no\nsd\qddt\repository\ConceptRepository.kt                        | Kotlin       |         36 |         33 |         10 |         79 |
